StreetCode,StreetName
126590,MORNINGSIDE DRIVE
126630,MORRIS STREET
126690,MORTON STREET
126790,MOTT STREET
126800,MOUNT CARMEL PLACE
126890,MT MORRIS PARK WEST
126990,MULBERRY STREET
127050,MURRAY STREET
127090,NAGLE AVENUE
127100,NASSAU STREET
127110,N D PERLMAN PLACE
127118,NY MARBLE CEMETERY BOUNDARY
127120,NEW STREET
127190,NORFOLK STREET
127240,NORTH END AVENUE
127290,NORTH MOORE STREET
127310,14 STREET/CANARSIE LINE
127390,OLD BROADWAY
127410,OLD SLIP
127490,OLIVER STREET
127495,TERRACE DRIVE
127590,ORCHARD STREET
127610,OWASCO ROAD
127690,OVERLOOK TERRACE
127790,PARK AVENUE
127800,PARK AVENUE SOUTH
127880,PARK PLACE
127885,PARK PLACE WEST
127890,PARK ROW
127990,MOSCO STREET
128090,PARK TERRACE EAST
128190,PARK TERRACE WEST
128290,PATCHIN PLACE
128390,PAYSON AVENUE
128490,PEARL STREET
128540,PECK SLIP
128590,PELL STREET
128690,PERRY STREET
128740,PETER COOPER ROAD
128789,PIKE SLIP
128790,PIKE STREET
128870,PINE STREET
128890,PINEHURST AVENUE
128990,PITT STREET
129010,PLATT STREET
129090,PALADINO AVENUE
129140,POMANDER WALK
129190,POST AVENUE
129290,PRINCE STREET
129295,PRINTING HOUSE SQUARE
129390,READE STREET
129440,RECTOR STREET
129450,RECTOR PLACE
129490,RENWICK STREET
129590,RIDGE STREET
129605,RIVER ROAD
129610,RIVER TERRACE
129650,RIVERSIDE BOULEVARD
129690,RIVERSIDE DRIVE
129800,RIVERVIEW TERRACE
129890,RIVINGTON STREET
129895,R F WAGNER SR PLACE
129900,ROCKEFELLER PLAZA
129940,ROSE STREET
129987,RUTGERS SLIP
129990,RUTGERS STREET
130090,RUTHERFORD PLACE
130110,EDENS ALLEY
130155,SAMUEL DICKSTEIN PLAZA
130190,SEAMAN AVENUE
130390,SHERIFF STREET
130490,SHERMAN AVENUE
130497,BELVEDERE LAKE SHORELINE
130520,SHORT AVENUE
130550,SHUBERT ALLEY
130590,SICKLES STREET
130610,SNIFFEN COURT
130620,SOUTH END AVENUE
130640,SOUTH STREET
130650,SOUTH WILLIAM STREET
130690,SOUTH PINEHURST AVENUE
130790,SPRING STREET
130800,SPRUCE STREET
130840,ST ANDREWS PLAZA
130850,ST CLAIRE PLACE
130890,ST JAMES PLACE
130895,ST JOHNS LANE
130990,ST LUKES PLACE
131090,ST MARKS PLACE
131190,ST NICHOLAS AVENUE
131290,ST NICHOLAS PLACE
131390,ST NICHOLAS TERRACE
131395,STABLE COURT
131470,STAFF STREET
131490,STANTON STREET
131540,STAPLE STREET
131590,STATE STREET
131610,STONE STREET
131700,AVENUE C LOOP
131710,20 STREET LOOP
131715,14 STREET LOOP
131720,1 AVENUE LOOP
131740,STUYVESANT OVAL
131790,STUYVESANT STREET
131890,SUFFOLK STREET
131990,SULLIVAN STREET
132080,SUTTON PLACE
132090,SUTTON PLACE SOUTH
132095,SUTTON SQUARE
132170,SYLVAN COURT
132190,SYLVAN PLACE
132195,SYLVAN TERRACE
132200,SZOLD PLACE
132210,TAMPA ROAD
132290,TERRACE VIEW AVENUE
